"","LNCAP_Hypoxia_S1","LNCAP_Hypoxia_S2","LNCAP_Normoxia_S1","LNCAP_Normoxia_S2","PC3_Hypoxia_S1","PC3_Hypoxia_S2","PC3_Normoxia_S1","PC3_Normoxia_S2"
"ENSG00000125449",170.184061779416,162.680048781049,153.667649114539,167.008345453065,116.024968344572,132.047328446496,188.055175178004,146.726392424683
"ENSG00000125450",665.913764317521,660.768080490086,694.797299210736,693.018882313112,1293.93062523403,1256.2340435991,1411.90631522533,1271.25538474821
"ENSG00000125454",109.796168889946,114.354504878444,172.327292221304,169.200056023315,176.559734437392,149.891562020347,462.675430993503,348.33517590898
"ENSG00000125457",505.06237689375,488.040146343148,477.467338320174,605.788801617154,348.074905033715,317.627357614545,438.795408748677,535.383325030522
"ENSG00000125458",152.067693912575,149.282868293198,141.593762398396,167.885029681165,187.910003079796,185.580029168049,208.950194642227,168.007319570248
"ENSG00000125459",172.379985157215,179.426524390863,182.205926807239,234.074688902721,93.3244310597642,103.496554728335,134.325125127146,152.326636410358
"ENSG00000125482",510.552185338248,499.044973172454,597.108579416493,542.229195079899,311.50181718597,317.627357614545,399.990372600835,364.01585906887
"ENSG00000125484",1131.99850125534,1141.15269512589,1024.08511874189,911.751597224082,2145.20077341431,1912.90183911681,1961.14682685633,1909.68319911515
"ENSG00000125485",438.086713870884,474.164495123588,566.375049593585,539.599142395598,253.489333013684,310.489664185004,447.750417090487,453.619762839668
"ENSG00000125498",0,0.478470731708969,0.548813032551924,0.876684228100079,0,0,0,0
"ENSG00000125503",516.041993782745,520.576156099358,356.179658126199,478.231246428593,1185.47250265106,1188.42595601846,1796.97167392315,1512.06587613223
"ENSG00000125505",2750.94301153759,2809.10166586336,1707.90615730159,1938.78717044332,4251.30617706034,4200.53258328448,3579.01833394329,3574.07571165773
"ENSG00000125508",102.11043706765,76.555317073435,37.8680992460827,46.9026062033542,27.7451011258759,39.2573138624718,29.8500278060324,21.2809271455647
"ENSG00000125510",4.39184675559783,5.26317804879866,2.1952521302077,0.438342114050039,10.0891276821367,7.13769342954033,17.9100166836195,16.8007319570248
"ENSG00000125520",1383.43172801332,1302.87580244352,1397.82679390975,1769.14877230596,1676.05633619496,1820.11182453278,2420.83725506923,2298.34013172099
"ENSG00000125531",1.64694253334919,1.91388292683588,0.548813032551924,1.31502634215012,23.9616782450746,28.5507737181613,5.97000556120649,12.3205367684848
"ENSG00000125534",2676.83059753688,2756.94835610708,3255.55890909801,4303.20453362924,496.889538345231,538.895853930295,773.11572017624,768.353474834599
"ENSG00000125538",1.09796168889946,2.39235365854484,4.93931729296731,0.876684228100079,32804.7986584674,33886.1995567427,24408.3677369927,25016.2898840099
"ENSG00000125551",0.548980844449729,0,0,0,2.52228192053417,3.56884671477016,0,0
"ENSG00000125571",0,0,0,0.438342114050039,32.7896649669442,32.1196204329315,8.95500834180973,12.3205367684848
"ENSG00000125611",161.40036826822,162.680048781049,154.765275179643,257.306820947373,71.8850347352238,85.6523211544839,238.800222448259,219.529564238457
"ENSG00000125618",3.29388506669837,7.17706097563453,3.29287819531154,7.45181593885067,64.3181889736213,71.3769342954033,59.7000556120649,62.7227326395591
"ENSG00000125629",3671.03490683534,3153.60059269381,514.786624533705,465.957667235192,2720.2810512961,2380.4207587517,280.590261376705,399.857420577189
"ENSG00000125630",785.591588407562,901.438858539697,1048.23289217417,904.299781285231,436.354772252411,399.710832054258,752.220700712017,792.994548371568
"ENSG00000125633",1237.40282338969,1194.26294634559,1070.7342265088,980.571309129938,682.277259504493,635.254715229089,528.345492166774,580.185276915922
"ENSG00000125637",963.461382009274,1030.62595610112,783.705010484147,779.81062089502,393.47597960333,413.986218913339,289.545269718515,269.931760109531
"ENSG00000125648",2558.25073513574,2312.44904634945,2166.16503948244,2585.78013078118,1789.55902261899,2016.39839384514,1623.84151264816,1650.95192697697
"ENSG00000125650",82.3471266674593,83.7323780490696,90.5541503710674,89.8601333802581,37.8342288080125,28.5507737181613,53.7300500508584,33.6014639140495
"ENSG00000125651",1632.12005054904,1729.19322439621,2092.62409312049,2232.0380447428,373.297724239057,342.609284617936,480.585447677122,491.701421942258
"ENSG00000125652",105.953302978798,112.919092683317,146.533079691364,273.963821281275,249.705910132883,292.645430611153,304.470283621531,344.975029517575
"ENSG00000125656",1004.634945343,1079.42997073543,1014.75529718851,1419.35176529403,1054.31384278328,1266.94058374341,1564.1414570361,1423.58202115856
"ENSG00000125657",18.6653487112908,25.3589487805753,16.4643909765577,20.1637372463018,132.419800828044,89.2211678692541,83.5800778568908,71.683123016639
"ENSG00000125675",1.09796168889946,1.91388292683588,4.39050426041539,2.63005268430024,89.541008178963,103.496554728335,50.7450472702551,58.2425374510192
"ENSG00000125676",6413.74320570618,6178.01408782621,5023.28568694776,3973.57126386361,762.990280961586,645.9612553734,599.985558901252,652.988448729696
"ENSG00000125686",3710.56152763572,3729.67935367141,3283.54837375816,2949.16574332866,3693.88187262229,3072.77702141711,3098.43288626617,3382.54736734765
"ENSG00000125691",19831.384024902,19301.5093171398,27328.6937689556,26370.2232391363,11570.9683104505,10403.188173555,9196.79356703859,9304.24535780031
"ENSG00000125703",426.009135292989,496.65261951391,632.232613499816,528.202247430297,297.629266623032,281.938890466843,367.155342014199,351.695322300385
"ENSG00000125726",1.09796168889946,2.39235365854484,1.09762606510385,3.94507902645035,175.298593477125,178.442335738508,208.950194642227,239.690442586887
"ENSG00000125730",12.6265594223438,12.4402390244332,22.5013343346289,23.6704741587021,155.120338112851,132.047328446496,116.415108443527,128.805611670523
"ENSG00000125731",30.7429272891848,28.2297731708292,18.6596431067654,28.9305795273026,534.723767153244,524.620467071214,671.62562563573,676.50947346953
"ENSG00000125733",760.887450407324,783.256587807582,528.506950347503,463.765956664942,2007.7364087452,1684.49564937152,2155.17200759554,2216.57656953013
"ENSG00000125734",1019.45742814315,925.840865856855,704.127120764118,754.825120394168,543.551753875113,663.805488947251,674.610628416333,720.191376557795
"ENSG00000125735",0,0.956941463417938,0.548813032551924,1.75336845620016,143.770069470448,114.203094872645,2.98500278060324,6.7202927828099
"ENSG00000125740",40.6245824892799,44.0193073172251,21.403708269525,21.917105702502,52.9679203312175,14.2753868590807,20.8950194642227,28.0012199283746
"ENSG00000125741",406.245824892799,416.748007318512,413.256213511599,416.863350461587,920.632900994972,852.954364830069,967.140900915451,906.119476882202
